Sr. No.,Gender,Region,Annual Family Income,District,Taluka,Category,SSC Math Percentage,SSC Total Percentage,HSC Physics Percentage,HSC Chemistry Percentage,HSC Math Percentage,HSC Subject Percentage,HSC English Percentage,HSC Total Percentage,CET Percentile,JEE Percentile,Merit No,Merit Marks,Admitted
128,Male,Rural,"15,001 - 50,000",Amravati,Karanja,OBC,93,86.2,94,85,92,96,92,92,55.49804,,59557,55.49804,1
129,Male,Rural,"15,001 - 50,000",Wardha,Wardha,SC,70,79.2,84,71,80,88,75,81,43.0893887,38.3197825,71089,43.0893887,1
130,Male,Urban,"3,00,001 - 3,50,000",Amravati,Amravati,Open,64,73.4,83,84,80,83,80,81.67,11.7954746,46.8825338,48,11.7954746,1
131,Female,Urban,"15,001 - 50,000",Amravati,Nandgaon-Khandeshwar,OBC,68,63,78,75,69,78,75,75,79.0779419,,31390,79.0779419,1
132,Female,Urban,"15,001 - 50,000",Amravati,Yavatmal,SC,93,84,20,31,32,27,89,31,0.49857769,46.9702153,477450,0.145687986,0
133,Male,Urban,"50,001 - 1,00,000",Amravati,Yavatmal,OBC,55,57.8,23,26,30,21,83,32,0.82933537,33.1679183,363195,0.38996682,0
134,Male,Urban,"50,001 - 1,00,000",Buldana,Amravati,OBC,41,49.4,29,21,29,31,73,20,0.234154153,0.2314212,300940,0.205653474,0
135,Male,Urban,"1,50,001 - 2,00,000",Amravati,Akola,Open,81,74.4,23,28,28,22,87,32,0.548749522,,239437,0.310503308,0
136,Male,Rural,"15,001 - 50,000",Buldana,Ashti,OBC,55,52.2,78,81,77,86.5,74,80.5,40.7677382,,73606,40.7677382,1
137,Female,Rural,"50,001 - 1,00,000",Rohtak,Chandur Railway,OBC,93,85.2,22,26,20,33,91,21,0.231424036,,588325,0.479504026,0
138,Male,Urban,"15,001 - 50,000",Amravati,Akola,SC,48,50.6,20,31,20,30,67,31,0.214802239,,417027,0.838188361,0
139,Female,Urban,"50,001 - 1,00,000",Amravati,Amravati,SC,72,74.2,92,89,93,93,91,90.83,45.9812986,,68486,45.9812986,1
140,Female,Urban,"50,001 - 1,00,000",Wardha,Ballarpur,DT/VJ,92,92.4,84,73,54,86,58,72.92,55.5758493,,59246,55.5758493,1
141,Female,Rural,"8,00,001 - 9,00,000",Akola,Wani,Open,47,53.6,32,27,29,25,78,27,0.283430413,37.1757063,595995,0.82457286,0
142,Male,Urban,"15,001 - 50,000",Amravati,Amravati,Open,64,68.8,20,33,31,21,71,23,0.341892219,,339208,0.619654114,0
143,Female,Urban,"50,001 - 1,00,000",Amravati,Wardha,OBC,85,83.2,25,25,24,24,88,23,0.567112519,34.7361577,212539,0.448907023,0
144,Male,Rural,"15,001 - 50,000",Amravati,Gondpipri,OBC,42,56.6,83,83,81,86,75,82.33,45.1726604,22.4427514,69035,45.1726604,1
145,Male,Urban,"50,001 - 1,00,000",Amravati,Akot,SC,84,77.4,35,40,35,58,71,52,77.5309265,,33522,77.5309265,1
146,Male,Rural,"15,001 - 50,000",Amravati,Ashti,SC,36,43,63,62,61,64,60,61,20.6367804,,37,20.6367804,1
147,Male,Urban,"50,001 - 1,00,000",Akola,Amravati,Open,76,74.8,28,31,29,23,84,25,0.409430098,,253868,0.251788807,0
148,Male,Rural,"15,001 - 50,000",Gadchiroli,Nandgaon-Khandeshwar,OBC,66,73.4,92,90,87,83,81,85,73.6463016,,38702,73.6463016,1
149,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,Open,84,79,33,28,21,29,79,30,0.739137313,47.5060905,364285,0.012801691,0
150,Male,Rural,"5,50,001 - 6,00,000",Amravati,Mangrulpir,OBC,49,50.4,76,73,72,74,74,74.5,44.5236882,,70054,44.5236882,1
151,Male,Rural,"15,001 - 50,000",Amravati,Ashti,SC,61,78.8,81,77,79,0,83,83.2,18.2274908,,89991,18.2274908,1
152,Female,Urban,"8,00,001 - 9,00,000",Amravati,Chandurbazar,Open,66,79.2,29,24,29,31,88,22,0.539282976,65.3690155,554325,0.150161098,0
153,Female,Rural,"15,001 - 50,000",Amravati,Teosa,SC,58,49.8,25,26,32,21,70,25,0.889880463,45.6326029,427620,0.164554639,0
154,Female,Urban,"8,00,001 - 9,00,000",Amravati,Amravati,OBC,46,45.6,32,26,23,29,79,28,0.362513997,50.8491407,570297,0.66650894,0
155,Female,Urban,"15,001 - 50,000",Washim,Amravati,OBC,87,75.2,90,84,87,93.5,84,88.67,41.1346317,,80,41.1346317,1
156,Female,Urban,"50,001 - 1,00,000",Yavatmal,Akola,Open,82,83,33,30,20,24,92,25,0.764762612,,171399,0.188997274,0
157,Male,Rural,"6,00,001 - 7,00,000",Akola,Karanja,SC,69,62.8,81,83,80,82,84,82,33.1688568,,79614,33.1688568,1
158,Male,Urban,"4,50,001 - 5,00,000",Amravati,Amravati,OBC,39,44.33,30,28,29,26,71,30,0.655421958,,425203,0.186122558,0
159,Female,Urban,"15,001 - 50,000",Amravati,Daryapur,OBC,87,85,90,91,89,90,89,90,69.6680476,,43709,69.6680476,1
160,Male,Rural,"50,001 - 1,00,000",Buldana,Warud,OBC,84,80,31,27,32,24,40,27,0.882371189,,300301,0.094686784,0
161,Female,Urban,"6,00,001 - 7,00,000",Amravati,Amravati,SC,71,67.8,83,81,77,81,86,81.5,12.7980055,25.0813207,93572,12.7980055,1
162,Male,Urban,"15,001 - 50,000",Amravati,Anjangaon Surji,OBC,58,65,22,31,31,23,83,26,0.781492432,,350701,0.340805355,0
163,Male,Urban,"2,50,001 - 3,00,000",Yavatmal,Amravati,OBC,76,64.8,30,31,20,25,84,33,0.554096409,32.5070136,396675,0.618250137,0
164,Male,Rural,"6,00,001 - 7,00,000",Buldana,Achalpur,SC,71,63.2,77,78,69,84,69,76.83,65.4219452,,49155,65.4219452,1
165,Female,Urban,"15,001 - 50,000",Wardha,Dhamangaon Railway,SC,91,77.2,30,21,26,24,87,24,0.009023523,23.837814,338389,0.299644455,0
166,Male,Urban,"15,001 - 50,000",Amravati,Amravati,SC,61,58.4,29,33,26,31,74,22,0.404326383,,537394,0.086726704,0
167,Female,Rural,"50,001 - 1,00,000",Amravati,Akot,OBC,94,88,23,26,21,33,88,32,0.852091716,12.2738126,549691,0.736899361,0
168,Male,Rural,"15,001 - 50,000",Amravati,Akola,SC,72,74.8,89,86,91,90,82,86.83,77.7279132,,1,77.7279132,1
169,Male,Urban,"7,00,001 - 8,00,000",Akola,Amravati,OBC,85,79.6,22,23,24,21,81,31,0.349494727,50.6096908,326762,0.741962943,0
170,Female,Urban,"4,50,001 - 5,00,000",Amravati,Amravati,Open,85,90.8,88,82,61,0,81,78,75.0550381,36.2864691,36784,75.0550381,1
171,Female,Rural,"15,001 - 50,000",Amravati,Dharni,Open,96,89,61,57,84,0,55,68.15,67.8408129,,46099,67.8408129,1
172,Female,Rural,"15,001 - 50,000",Amravati,Teosa,OBC,77,77.2,22,27,31,32,80,25,0.045471359,,270545,0.01746194,0
173,Male,Urban,"15,001 - 50,000",Yavatmal,Amravati,OBC,71,70.6,32,24,25,28,75,29,0.744799103,,177377,0.393670135,0
174,Male,Urban,"2,50,001 - 3,00,000",Akola,Amravati,OBC,95,87.8,28,33,32,33,85,22,0.226042812,65.9977098,334372,0.848536479,0
175,Female,Rural,"15,001 - 50,000",Amravati,Darwha,DT/VJ,87,83.2,68,72,77,71,82,76.17,77.3804659,,33671,77.3804659,1
176,Female,Rural,"50,001 - 1,00,000",Akola,Telhara,OBC,55,57.8,83,78,80,82,76,79,8.5417104,64.1989515,24648,64.1989515,1
177,Male,Urban,"15,001 - 50,000",Yavatmal,Amravati,Open,90,73.4,21,24,31,20,82,32,0.716629992,10.5908921,210742,0.044886434,0
178,Male,Urban,"4,50,001 - 5,00,000",Yavatmal,Amravati,SC,95,88,80,89,90,95.5,82,88.67,43.0893887,,71324,43.0893887,1
179,Male,Rural,"15,001 - 50,000",Amravati,Ashti,SC,42,50.8,78,78,75,85.5,75,79.5,44.4594976,,70204,44.4594976,1
180,Female,Rural,"15,001 - 50,000",Amravati,Mangrulpir,SC,95,90.8,33,22,30,31,87,33,0.135979576,,180684,0.948393481,0
181,Male,Rural,"15,001 - 50,000",Amravati,Ner,OBC,74,66,31,31,21,33,82,21,0.637361562,,483942,0.657329839,0
182,Female,Rural,"15,001 - 50,000",Amravati,Teosa,OBC,69,81.4,90,88,84,88,85,88,71.0624183,,41849,71.0624183,1
183,Male,Rural,"6,00,001 - 7,00,000",Akola,Karanja,SC,69,62.8,26,21,25,28,84,29,0.595845223,,262865,0.896601821,0
184,Female,Rural,"50,001 - 1,00,000",Amravati,Telhara,OBC,55,57.8,30,32,27,20,76,22,0.510540435,64.1989515,123333,0.246054118,0
185,Male,Rural,"15,001 - 50,000",Amravati,Malegaon,NT 1 (NT-B),66,61.8,29,29,26,30,69,32,0.746623385,18.0827498,343067,0.815042508,0
186,Female,Rural,"50,001 - 1,00,000",Amravati,Ghatanji,OBC,77,68.8,25,24,33,32,84,21,0.317636631,42.3093405,167449,0.511244256,0
187,Female,Urban,"15,001 - 50,000",Nagpur,Murtijapur,OBC,59,47.2,76,68,75,76,68,72.17,53.9180629,,8,53.9180629,1
188,Female,Urban,"15,001 - 50,000",Amravati,Amravati,SC,74,77.2,79,87,78,90.5,84,84.83,69.3138732,43.93531,44268,69.3138732,1
189,Male,Urban,"50,001 - 1,00,000",Amravati,Digras,Open,90,80.6,28,22,21,25,91,29,0.759553666,5.5640796,428406,0.707298857,0
190,Female,Rural,"50,001 - 1,00,000",Amravati,Darwha,OBC,57,67.6,22,24,30,23,87,25,0.282373872,,339670,0.882858581,0
191,Female,Rural,"3,00,001 - 3,50,000",Akola,Arni,SBC,47,61.8,26,21,24,24,82,24,0.503191991,38.8121746,144565,0.998433395,0
192,Female,Rural,"50,001 - 1,00,000",Amravati,Dhamangaon Railway,OBC,65,60,22,22,21,22,69,28,0.1377402,,566575,0.744158118,0
193,Female,Rural,"50,001 - 1,00,000",Amravati,Arjuni Morgaon,OBC,99,91.2,65,82,84,93,82,81.69,,82.9806952,9307,82.9806952,1
194,Male,Urban,"3,00,001 - 3,50,000",Amravati,Amravati,NT 2 (NT-C),69,84.8,91,89,88,96.5,89,91.67,30.635055,40.0995368,81095,30.635055,1
195,Male,Rural,"15,001 - 50,000",Akola,Warud,NT 2 (NT-C),71,69.6,82,83,79,80,78,80.67,47.8943798,,66874,47.8943798,1
196,Female,Urban,"50,001 - 1,00,000",Amravati,Wardha,OBC,85,76.2,91,89,86,91.5,85,89,51.8984054,62.5636892,63329,51.8984054,1
197,Male,Rural,"50,001 - 1,00,000",Chandrapur,Motala,OBC,79,81.4,74,87,55,0,95,81,65.8083801,52.1049688,48769,65.8083801,1
198,Male,Rural,"15,001 - 50,000",Amravati,Chandurbazar,SC,86,84,21,27,21,21,81,26,0.359096809,,338589,0.808730542,0
199,Male,Urban,"50,001 - 1,00,000",Yavatmal,Digras,Open,90,80.6,91,89,82,92,91,88.83,76.6846715,5.5640796,34556,76.6846715,1
200,Male,Urban,"4,50,001 - 5,00,000",Nagpur,Akola,OBC,88,86.6,92,95,90,95.5,94,93.67,72.2823866,,40784,72.2823866,1
201,Female,Urban,"8,00,001 - 9,00,000",Buldana,Amravati,OBC,88,80.4,31,32,31,26,81,31,0.166492925,,120587,0.035406105,0
202,Male,Rural,"50,001 - 1,00,000",Amravati,Akot,Open,94,75.6,83,87,84,88,91,86.83,55.49804,67.5887811,21640,67.5887811,1
203,Female,Urban,"15,001 - 50,000",Amravati,Achalpur,OBC,85,84.4,29,25,30,28,85,21,0.199220612,,371427,0.707599463,0
204,Male,Rural,"15,001 - 50,000",Amravati,Anjangaon Surji,SC,85,82,22,33,26,22,88,26,0.254845397,,423585,0.782533108,0
205,Male,Rural,"50,001 - 1,00,000",Akola,Deoli,OBC,58,64,29,24,23,28,79,28,0.294254605,,588165,0.004196221,0
206,Male,Rural,"15,001 - 50,000",Bhandara,Daryapur,SC,85,66.4,88,89,78,88,78,83.83,26.7293565,,84613,26.7293565,1
207,Male,Urban,"15,001 - 50,000",Amravati,Amravati,SC,92,72.6,85,84,82,84,81,83.5,57.2430271,29.2646644,57484,57.2430271,1
208,Female,Rural,"9,00,001 - 10,00,000",Buldana,Morshi,OBC,89,89.8,96,94,95,98,92,95.5,20.6305511,43.1983266,38,20.6305511,1
209,Male,Urban,"9,00,001 - 10,00,000",Nanded,Ner,OBC,49,66.4,25,28,22,21,74,31,0.752243356,,194279,0.360430937,0
210,Male,Rural,"50,001 - 1,00,000",Akola,Wardha,SC,44,55.2,22,27,29,21,79,32,0.334049317,37.1023184,537966,0.028572083,0
211,Male,Rural,"50,001 - 1,00,000",Yavatmal,Akot,Open,94,75.6,30,30,20,31,91,33,0.664673171,67.5887811,458909,0.158255354,0
212,Female,Urban,"15,001 - 50,000",Amravati,Amravati,OBC,78,83.4,22,22,31,32,83,27,0.416121746,19.5794333,281996,0.724763465,0
213,Male,Rural,"15,001 - 50,000",Amravati,Nandgaon-Khandeshwar,SC,66,80.8,29,21,22,27,84,22,0.093679196,,419245,0.336161649,0
214,Female,Rural,"15,001 - 50,000",Amravati,Morshi,OBC,96,92.6,90,90,85,90.5,91,89.5,69.0488353,,44428,69.0488353,1
215,Female,Rural,"15,001 - 50,000",Akola,Dhamangaon Railway,NT 2 (NT-C),95,87.6,27,24,25,31,91,31,0.942311035,47.3169603,369558,0.683105818,0
216,Male,Urban,"4,50,001 - 5,00,000",Buldana,Bhusawal,OBC,78,70.2,93,93,90,90,86,90.33,71.5034873,59.5977624,41062,71.5034873,1
217,Male,Rural,"15,001 - 50,000",Washim,Manora,OBC,89,76.4,91,90,89,93,82,89.67,64.0315795,,50015,64.0315795,1
218,Male,Rural,"15,001 - 50,000",Akola,Bhatkuli,OBC,74,67.8,85,82,84,85,78,82.67,37.8436353,,75461,37.8436353,1
219,Male,Rural,"15,001 - 50,000",Akola,Chandurbazar,OBC,52,81,73,70,87,76,54,74.15,66.7554528,41.1898175,47142,66.7554528,1
220,Male,Urban,"1,00,001 - 1,50,000",Amravati,Amravati,NT 1 (NT-B),87,73.8,27,30,29,20,92,27,0.380561296,61.0778793,369471,0.268349219,0
221,Male,Rural,"15,001 - 50,000",Amravati,Teosa,OBC,88,75.4,91,89,89,93,82,88.5,65.5810044,4.9501234,48915,65.5810044,1
222,Female,Rural,"15,001 - 50,000",Amravati,Nandgaon-Khandeshwar,OBC,94,80.4,85,86,86,82,82,83.67,76.1031259,,35520,76.1031259,1
223,Female,Urban,"15,001 - 50,000",Amravati,Amravati,SC,54,62.6,23,26,27,22,61,21,0.999409064,,256609,0.858075209,0
224,Male,Urban,"6,00,001 - 7,00,000",Akola,Amravati,OBC,64,64.2,76,71,75,75,76,73.33,43.0893887,,71138,43.0893887,1
225,Male,Rural,"50,001 - 1,00,000",Akola,Achalpur,OBC,78,77.4,23,21,30,28,82,25,0.782653479,,114776,0.153799976,0
226,Female,Rural,"50,001 - 1,00,000",Amravati,Hingoli,Open,76,81,85,95,94,90,89,90.33,83.1897457,,25569,83.1897457,1
227,Male,Urban,"15,001 - 50,000",Chandrapur,Amravati,Open,52,54.8,32,31,33,30,74,24,0.542737697,,351462,0.847079409,0
228,Female,Urban,"10,00,001 - 15,00,000",Amravati,Amravati,OBC,87,86.8,86,86,89,86.5,87,86.83,75.0550381,69.723163,36724,75.0550381,1
229,Female,Urban,"15,001 - 50,000",Amravati,Chandur Railway,SC,93,79.6,23,29,21,32,92,33,0.163245248,,455791,0.724130154,0
230,Male,Urban,"9,00,001 - 10,00,000",Akola,Ghatanji,OBC,88,80,93,92,90,94,92,92.5,35.4311402,44.8931643,77420,35.4311402,1
231,Female,Rural,"15,001 - 50,000",Amravati,Mehkar,OBC,82,80.6,96,94,87,93,92,91.83,82.2470386,,26955,82.2470386,1
232,Female,Urban,"15,001 - 50,000",Amravati,Malegaon,Open,66,71.6,88,84,96,94,59,83.85,25.9807928,,85013,25.9807928,1
233,Female,Urban,"15,001 - 50,000",Amravati,Amravati,SBC,40,62.6,22,27,28,33,68,27,0.426228131,4.9882333,436915,0.456128951,0
234,Female,Rural,"15,001 - 50,000",Amravati,Not Applicable,Not Applicable,63,59.8,29,33,25,27,76,32,0.268576794,,531313,0.077108666,0
235,Male,Rural,"15,001 - 50,000",Amravati,Not Applicable,Not Applicable,85,91.8,30,27,32,28,94,26,0.063387884,54.002107,344559,0.15389669,0
236,Male,Rural,"15,001 - 50,000",Amravati,Chandur Railway,DT/VJ,78,73.6,24,26,28,30,57,32,0.633371834,,323406,0.775412117,0
237,Male,Rural,"15,001 - 50,000",Yavatmal,Warud,OBC,72,79.4,33,29,32,28,86,29,0.508954797,16.6926359,132391,0.635909796,0
238,Male,Urban,"15,001 - 50,000",Amravati,Anjangaon Surji,NT 2 (NT-C),81,78,86,87,87,88,88,87.83,8.3443709,21.4130017,96546,8.3443709,1
239,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,Open,76,74.8,85,89,87,84,84,86.67,41.1346317,,73093,41.1346317,1
240,Male,Urban,"1,00,001 - 1,50,000",Amravati,Amravati,OBC,78,75.8,28,32,33,22,74,33,0.616004191,46.1597641,172495,0.338157684,0
241,Male,Rural,"50,001 - 1,00,000",Wardha,Amravati,Open,70,76.8,29,30,32,28,82,22,0.31395733,,469171,0.12537547,0
242,Male,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,95,79.6,27,29,30,22,80,29,0.235702139,,577983,0.118211632,0
243,Male,Rural,"15,001 - 50,000",Amravati,Wardha,SC,70,79.2,32,24,23,22,75,32,0.865795122,38.3197825,311865,0.15394976,0
244,Male,Rural,"15,001 - 50,000",Amravati,Mangrulpir,OBC,89,83.6,78,88,84,88,77,82.17,20.6305511,50.3249987,39,20.6305511,1
245,Female,Urban,"4,50,001 - 5,00,000",Amravati,Ballarpur,Open,33,61.83,24,33,26,27,89,22,0.886484,51.1532468,402180,0.007486227,0
246,Female,Rural,"50,001 - 1,00,000",Amravati,Hingoli,Open,76,81,21,22,22,21,89,29,0.036246102,,243157,0.611497935,0
247,Female,Rural,"15,001 - 50,000",Amravati,Sangrampur,OBC,85,89,31,20,24,20,86,20,0.916582811,,253796,0.740957237,0
248,Female,Urban,"15,001 - 50,000",Amravati,Amravati,SC,74,77.2,26,20,24,22,84,24,0.967561813,43.93531,128015,0.372724299,0
249,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,Open,60,63.8,78,80,74,79,77,77.67,,31.539894,76,31.539894,1
250,Female,Urban,"1,00,001 - 1,50,000",Wardha,Amravati,OBC,85,82.2,30,32,20,25,81,26,0.386480335,,474145,0.972204259,0
251,Male,Urban,"15,001 - 50,000",Nagpur,Amravati,SC,69,74.2,72,72,81,86,76,77.67,30.635055,,81068,30.635055,1
252,Male,Rural,"15,001 - 50,000",Nagpur,Nandgaon-Khandeshwar,OBC,67,56,22,23,31,27,73,32,0.38824714,42.2103451,358782,0.408750422,0
253,Male,Rural,"15,001 - 50,000",Amravati,Chandur Railway,SC,51,71.8,28,26,29,27,85,26,0.706597625,33.8125681,537428,0.230987965,0
254,Male,Urban,"7,00,001 - 8,00,000",Wardha,Akola,Open,80,76.8,24,26,26,22,82,25,0.986571052,63.621079,510059,0.115681872,0
255,Male,Urban,"4,00,001 - 4,50,000",Amravati,Amravati,OBC,74,71.2,85,81,86,88.5,80,84.83,12.7980055,38.9232685,43935,38.9232685,1
256,Female,Rural,"50,001 - 1,00,000",Amravati,Ner,OBC,95,82.6,30,29,23,20,91,27,0.785354494,,325432,0.059693133,0
257,Male,Rural,"50,001 - 1,00,000",Akola,Bhatkuli,OBC,52,68.4,24,28,30,21,80,28,0.354200511,,293329,0.61691079,0
258,Male,Rural,"50,001 - 1,00,000",Amravati,Chandur Railway,OBC,43,58.2,24,25,28,29,77,20,0.277450135,,104753,0.55388424,0
259,Male,Rural,"50,001 - 1,00,000",Amravati,Chandur Railway,DT/VJ,56,63.2,28,33,27,25,75,20,0.491854245,,539831,0.312499558,0
260,Male,Urban,"5,50,001 - 6,00,000",Amravati,Achalpur,NT 2 (NT-C),69,80.6,83,82,69,0,86,81,57.2430271,66.7098185,22504,66.7098185,1
261,Female,Rural,"15,001 - 50,000",Wardha,Chandur Railway,OBC,94,89.2,29,21,29,26,85,31,0.210086045,,271528,0.232195023,0
262,Male,Urban,"1,50,001 - 2,00,000",Amravati,Amravati,OBC,83,81.4,93,87,86,87,92,88.67,70.8970412,27.6356103,41948,70.8970412,1
263,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,OBC,79,78.6,20,22,22,27,77,32,0.50389406,,198703,0.512221852,0
264,Male,Urban,"15,001 - 50,000",Amravati,Amravati,Open,52,54.8,81,78,74,78,74,76.83,30.635055,,26,30.635055,1
265,Male,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,57,68.8,72,82,75,78,69,74.33,70.7243564,,42743,70.7243564,1
266,Female,Rural,"15,001 - 50,000",Amravati,Babulgaon,NT 2 (NT-C),74,77.4,82,79,88,77,82,81.67,62.8388317,,6,62.8388317,1
267,Female,Rural,"15,001 - 50,000",Amravati,Mangrulpir,OBC,61,64.2,81,79,77,80,80,79.5,,60.9135106,27520,60.9135106,1
268,Male,Rural,"15,001 - 50,000",Amravati,Umarga,SC,87,74.4,21,22,33,29,83,25,0.466100648,,132449,0.088287117,0
269,Male,Rural,"50,001 - 1,00,000",Yavatmal,Daryapur,OBC,89,78.4,28,24,22,20,92,28,0.963142154,44.43054,205665,0.870227461,0
270,Male,Urban,"8,00,001 - 9,00,000",Akola,Amravati,Open,86,77.8,91,89,91,94,90,91.5,8.4325345,,51,8.4325345,1
271,Male,Urban,"15,001 - 50,000",Chandrapur,Arvi,SBC,76,73.6,84,87,87,88,78,85.17,34.2703923,15.9578854,78058,34.2703923,1
272,Male,Rural,"3,00,001 - 3,50,000",Amravati,Seloo,SC,94,73,86,89,88,94,84,89.17,59.3581253,33.6592408,55288,59.3581253,1
273,Male,Rural,"15,001 - 50,000",Washim,Arvi,OBC,86,64.83,27,31,20,30,76,23,0.256173912,,345113,0.623142403,0
274,Male,Rural,"15,001 - 50,000",Nagpur,Karanja,OBC,93,86.2,20,20,22,21,92,33,0.60396712,,486614,0.370610954,0
275,Male,Urban,"2,00,001 -2,50,000",Buldana,Amravati,Open,55,68.6,92,89,89,95,87,89.17,2.8411157,8.1082247,60,2.8411157,1
276,Male,Rural,"4,50,001 - 5,00,000",Amravati,Murtijapur,Open,85,83.2,24,31,20,27,89,28,0.455124892,38.1618113,159281,0.25676986,0
277,Male,Urban,"15,001 - 50,000",Amravati,Amravati,SC,83,70.8,20,33,29,20,75,33,0.335649206,,597323,0.967264998,0
278,Female,Urban,"15,001 - 50,000",Amravati,Yavatmal,SC,93,84,92,94,89,98,89,93.33,21.1515665,46.9702153,88017,21.1515665,1
279,Female,Rural,"15,001 - 50,000",Buldana,Amravati,OBC,84,77.6,23,27,27,24,78,24,0.538082701,,144498,0.009223477,0
280,Male,Rural,"50,001 - 1,00,000",Amravati,Daryapur,OBC,61,61.2,23,26,27,31,79,23,0.175846839,,284233,0.077838546,0
281,Male,Rural,"5,00,001 - 5,50,000",Washim,Bhandara,SC,83,82.4,33,32,32,23,82,24,0.11415435,57.9405584,410194,0.28231939,0
282,Male,Rural,"15,001 - 50,000",Amravati,Mahagaon,Open,81,62.2,27,24,22,20,76,22,0.407723196,,130732,0.195199015,0
283,Female,Rural,"15,001 - 50,000",Amravati,Mangrulpir,OBC,57,57.6,21,31,24,21,82,26,0.91914122,24.0832638,155319,0.681458128,0
284,Male,Urban,"4,50,001 - 5,00,000",Amravati,Amravati,SC,95,88,24,25,22,26,82,31,0.832212586,,435225,0.448297079,0
285,Female,Urban,"50,001 - 1,00,000",Amravati,Amravati,OBC,76,79.8,20,21,23,28,85,28,0.705182031,33.8125681,269476,0.928588088,0
286,Female,Rural,"15,001 - 50,000",Amravati,Warud,SC,66,73.8,27,30,32,21,67,29,0.061083003,78.883698,290471,0.924230476,0
287,Male,Urban,"15,001 - 50,000",Amravati,Malegaon,NT 1 (NT-B),72,77,25,31,29,28,90,22,0.899334434,51.9783577,291232,0.211257301,0
288,Female,Urban,"15,001 - 50,000",Amravati,Nagpur (Urban),SC,89,74.8,89,86,87,89,88,87.33,,28.8412301,81,28.8412301,1
289,Male,Urban,"4,00,001 - 4,50,000",Amravati,Amravati,NT 2 (NT-C),91,79,93,91,91,91,89,89.83,82.7767101,70.7965375,26111,82.7767101,1
290,Male,Rural,"50,001 - 1,00,000",Amravati,Chandur Railway,DT/VJ,56,63.2,84,79,78,80,75,78.67,12.7980055,,93481,12.7980055,1
291,Male,Rural,"50,001 - 1,00,000",Amravati,Darwha,DT/VJ,66,75.2,28,28,21,25,86,32,0.306461321,,350564,0.595280541,0
292,Female,Rural,"15,001 - 50,000",Amravati,Mangrulpir,OBC,76,86.6,94,89,86,89,88,88.83,52.0169076,50.4381119,62676,52.0169076,1
293,Male,Rural,"15,001 - 50,000",Amravati,Karanja,NT 1 (NT-B),91,71.6,25,32,30,23,88,21,0.542763792,,104102,0.83636139,0
294,Female,Rural,"50,001 - 1,00,000",Amravati,Ner,Open,61,71.8,89,90,86,89,88,88.33,37.8436353,,79,37.8436353,1
295,Male,Rural,"50,001 - 1,00,000",Amravati,Deoli,OBC,38,53.4,78,77,76,85,83,80.67,67.2915815,,46857,67.2915815,1
296,Female,Urban,"50,001 - 1,00,000",Yavatmal,Amravati,OBC,69,72.4,28,25,33,27,81,28,0.065177944,,350249,0.21287554,0
297,Male,Urban,"15,001 - 50,000",Akola,Amravati,OBC,61,68.2,33,25,32,27,76,21,0.110050781,,529204,0.733962121,0
298,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,OBC,83,68.8,27,31,24,24,80,28,0.068858523,59.476447,210634,0.674775172,0
299,Female,Rural,"15,001 - 50,000",Amravati,Warud,OBC,89,80.8,32,31,31,24,82,22,0.304205777,61.4492976,209860,0.068733784,0
300,Male,Urban,"15,001 - 50,000",Amravati,Daryapur,SBC,89,77.2,83,82,83,84,83,83.83,23.6405669,,34,23.6405669,1
301,Male,Rural,"15,001 - 50,000",Amravati,Pusad,NT 1 (NT-B),35,39.6,70,73,67,73,70,70.83,4.095889,,98744,4.095889,1
302,Female,Urban,"5,00,001 - 5,50,000",Amravati,Amravati,OBC,87,88,30,26,29,26,95,21,0.791549764,41.228096,489089,0.595894033,0
303,Female,Urban,"15,001 - 50,000",Akola,Amravati,OBC,81,82.6,32,29,33,21,78,23,0.172274473,61.0981804,590251,0.771871862,0
304,Male,Urban,"1,00,001 - 1,50,000",Amravati,Amravati,SC,73,69.2,77,78,72,83.5,77,78.5,17.2251737,25.3878447,45,17.2251737,1
305,Male,Rural,"15,001 - 50,000",Amravati,Ner,OBC,74,66,76,74,70,74,82,72.83,3.690861,,58,3.690861,1
306,Male,Urban,"1,00,001 - 1,50,000",Amravati,Amravati,Not Applicable,69,69.8,21,21,25,33,75,24,0.074888376,,372779,0.685103581,0
307,Male,Urban,"50,001 - 1,00,000",Akola,Amravati,SC,74,74,32,27,32,32,75,20,0.083854569,,352528,0.849475145,0
308,Male,Urban,"9,00,001 - 10,00,000",Amravati,Amravati,Open,83,62.2,88,88,88,91,87,88.83,44.3547118,,14,44.3547118,1
309,Male,Urban,"6,00,001 - 7,00,000",Yavatmal,Amravati,SC,76,60,78,79,78,88,71,80.33,53.6630133,,61284,53.6630133,1
310,Male,Urban,"2,00,001 -2,50,000",Amravati,Nandura,Open,39,67.2,95,95,95,94,94,93.17,61.5287969,,53020,61.5287969,1
311,Male,Urban,"15,001 - 50,000",Amravati,Amravati,Open,78,61,32,33,23,24,72,25,0.282839009,22.9937492,502601,0.307649274,0
